Fecha y hora,Departamento,Jurisdiccion,Tipo de siniestro,Vehiculo,Rol,Edad,Sexo,Dias Fallecidos,Otro vehiculo,Lugar del Siniestro,Latitud,Longitud
2/11/2013 8:50:00,CANELONES,NACIONAL,CAIDA,BICICLETA,CONDUCTOR,72,M,0,,RUTA 107 km. 3.500,-34.5588807,-56.1913897
2/11/2013 16:05:00,CANELONES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,17,M,1,OMNIBUS,JOSE BATLLE Y ORDOóEZ esq. PEDRO ROSA GIFFUNI,-34.7628403,-56.2257309
2/11/2013 17:15:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,22,M,0,AUTO,AVENIDA LUIS BATLLE BERRES esq. TURUBI,-34.8462668,-56.2434691
2/13/2013 3:40:00,CERRO LARGO,DEPARTAMENTAL,DESPISTE,MOTO,CONDUCTOR,39,M,1,,AVENIDA CENTENARIO esq. PEREZ VILA,-32.5875511,-53.3806381
2/14/2013 14:15:00,FLORIDA,NACIONAL,COLISION CON OBSTACULO,AUTO,CONDUCTOR,83,M,0,,RUTA 5 km. 158,-33.7297462,-56.3249493
2/14/2013 14:15:00,FLORIDA,NACIONAL,COLISION CON OBSTACULO,AUTO,PASAJERO,78,F,0,,RUTA 5 km. 158,-33.7297462,-56.3249493
2/16/2013 3:00:00,SALTO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,27,M,0,CAMIONETA,BRASIL esq. OSIMANI Y LERENA,-31.3878098,-57.9625816
2/16/2013 6:35:00,COLONIA,DEPARTAMENTAL,CAIDA,MOTO,CONDUCTOR,18,M,1,,GENERAL JOSE DE SAN MARTIN esq. URUGUAY,-34.0036087,-58.2861214
2/16/2013 9:55:00,CANELONES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,N,M,1,MOTO,CAMINO AMERICA esq. RINCON,-34.516667,-56.283333
2/16/2013 21:50:00,SALTO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,43,M,1,MOTO,CAMINO DEPARTAMENTAL A RIVERA frente a SAN PEDRO,-31.3546009,-57.7627716
2/17/2013 5:10:00,CANELONES,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,16,M,0,AUTO,RUTA 12 km. 79,-34.5214738,-56.2999351
2/18/2013 4:45:00,COLONIA,DEPARTAMENTAL,CAIDA,MOTO,CONDUCTOR,24,M,1,,JOSE ENRIQUE RODO esq. AVENIDA DE LOS ARGENTINOS,-34.0073395,-58.2866287
2/18/2013 21:40:00,MALDONADO,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,N,M,1,CAMION,RUTA 13 km. 185,-34.9119265,-54.9900793
2/19/2013 2:45:00,PAYSANDU,NACIONAL,DESPISTE,AUTO,PASAJERO,22,M,1,,RUTA 26 km. 171,-31.8860605,-57.043305
2/20/2013 18:00:00,ROCHA,NACIONAL,DESPISTE,CAMIONETA,CONDUCTOR,68,M,0,,RUTA 15 km. 96,-34.4878288,-54.319523
2/21/2013 18:00:00,MALDONADO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,79,M,0,AUTO,RUTA 39 km. 12,-34.9119265,-54.9900793
2/24/2013 3:03:00,CANELONES,DEPARTAMENTAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,28,M,1,,GENERAL ARTIGAS esq. FRANCISCA ASNAR DE ARTIGAS,-34.516667,-56.283333
2/24/2013 8:00:00,SALTO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,50,M,0,CAMIONETA,AVENIDA LUIS BATLLE BERRES esq. AVENIDA GARIBALDI,-31.338889,-57.828611
2/24/2013 19:00:00,SALTO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,20,M,0,CAMION,AVENIDA PARAGUAY esq. AVENIDA E. GAUTRON,-31.3686968,-57.9275949
2/25/2013 18:40:00,PAYSANDU,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,13,M,1,CAMION,AVENIDA SORIANO esq. PROYECTADA NOVENTA Y SIETE,-32.3292694,-58.0566597
2/27/2013 9:40:00,RIO NEGRO,NACIONAL,CAIDA,MOTO,PASAJERO,64,M,5,,RUTA 3 km. 322,-32.8584512,-57.4921685
2/27/2013 17:20:00,ARTIGAS,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,89,M,4,MOTO,DIEGO LAMAS esq. 25 DE AGOSTO,-30.4059464,-56.4724148
3/1/2013 11:58:00,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,48,M,0,OMNIBUS,AVENIDA ITALIA esq. GENERAL NARIóO,-34.8867989,-56.1250916
3/1/2013 19:20:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,25,M,1,CAMION,CORUóA esq. AGACES,-34.8708992,-56.1514893
3/1/2013 21:00:00,COLONIA,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,74,M,0,AUTO,RUTA 21 km. 202,-33.9820739,-58.2825502
3/2/2013 18:20:00,FLORES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,26,M,3,MOTO,INES DURAN esq. SARANDI,-33.5133209,-56.9015007
3/2/2013 23:10:00,CANELONES,NACIONAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,55,M,0,,RUTA 81 esq. CAMINO AL RINCON DE VIDAL,-34.516667,-56.283333
3/3/2013 10:00:00,SALTO,NACIONAL,DESPISTE,AUTO,PASAJERO,40,M,0,,RUTA 3 km. 507,-31.3957169,-57.9065285
3/3/2013 19:48:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,24,M,1,AUTO,AVELLANEDA esq. VEINTIUNO DE ABRIL,-34.9011127,-56.1645314
3/4/2013 10:15:00,TACUAREMBO,DEPARTAMENTAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,65,M,0,AUTO,AV. OLIVER esq. HERREIRA Y REISSIG,-31.7089901,-55.9974785
3/5/2013 18:30:00,CANELONES,NACIONAL,CAIDA,MOTO,CONDUCTOR,35,M,0,,RUTA 7 km. 55.800,-34.5214738,-56.2999351
3/6/2013 12:55:00,CANELONES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,PASAJERO,8,F,2,CAMIONETA,DIECIOCHO DE JULIO esq. MADRID,-34.516667,-56.283333
3/6/2013 20:50:00,CERRO LARGO,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,25,M,0,CAMIONETA,RUTA 8 km. 413,-32.3066971,-54.1636428
3/7/2013 18:05:00,RIVERA,DEPARTAMENTAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,19,M,0,,CHASQUE DE LOS SANTOS esq. DIONISIO ORIBE,-30.8866284,-55.5616482
3/8/2013 6:45:00,SAN JOSE,NACIONAL,DESPISTE,AUTO,CONDUCTOR,42,M,0,,RUTA 1 km. 73.800,-34.5742989,-56.7191505
3/8/2013 10:00:00,CANELONES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,PASAJERO,10,F,0,AUTO,RUTA 64 esq. BALTASAR BRUM,-34.5263205,-56.283459
3/9/2013 4:55:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,34,M,0,MOTO,PRIMERA AL NORTE esq. CAMINO CIBILS,-34.8627476,-56.268929
3/10/2013 1:50:00,RIO NEGRO,NACIONAL,CAIDA,MOTO,CONDUCTOR,47,M,1,,RUTA 25 km. 44,-32.766518,-57.9198736
3/10/2013 6:00:00,CANELONES,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,52,M,0,AUTO,RUTA 64 km. 3.800,-34.5214738,-56.2999351
3/13/2013 17:00:00,ARTIGAS,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,CAMIONETA,PASAJERO,31,F,0,CAMIONETA,CAMINO VECINAL A TRES CERROS a 8 Km de RUTA 4,0,0
3/15/2013 13:30:00,ROCHA,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,69,F,0,CAMION,RUTA 10 km. 271.500,-34.4878288,-54.319523
3/16/2013 13:00:00,CANELONES,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,9,F,0,CAMIONETA,RUTA 101 km. 19,-34.789378,-56.0013672
3/17/2013 22:40:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,34,M,28,AUTO,AVENIDA OCHO DE OCTUBRE esq. MARCOS SASTRE,-34.8596637,-56.1308676
3/18/2013 2:45:00,LAVALLEJA,NACIONAL,DESPISTE,CAMIONETA,PASAJERO,42,M,0,,RUTA 8 km. 127.500,-34.3779782,-55.2527051
3/18/2013 3:05:00,SAN JOSE,DEPARTAMENTAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,44,M,2,,ANSINA Y 25 DE MAYO,-34.3343004,-56.7120704
3/18/2013 5:56:00,CANELONES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,38,M,0,OMNIBUS,AVENIDA GIANNATTASIO ENTRE RACINE Y AVENIDA DE LA PALYA,-34.516667,-56.283333
3/18/2013 6:55:00,MALDONADO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,19,M,0,AUTO,JACINTO MARIA ALVARIZA esq. CARLOS REYLES,-34.8860404,-54.9427947
3/19/2013 4:00:00,SAN JOSE,NACIONAL,CAIDA,MOTO,CONDUCTOR,42,M,1,,RUTA 1 km. 26,-34.7536068,-56.4131806
3/19/2013 18:15:00,PAYSANDU,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,28,M,24,MOTO,COLON esq. CIUDAD DE YOUNG,-32.324001,-58.061577
3/20/2013 11:35:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,32,M,7,OMNIBUS,AVENIDA GENERAL EUGENIO GARZON esq. CARVE,-34.8072209,-56.2284002
3/21/2013 5:00:00,TACUAREMBO,DEPARTAMENTAL,CAIDA,MOTO,CONDUCTOR,28,M,0,,CARLOS GARDEL esq. BENITO NARDONE,-31.7223206,-55.9738998
