Fecha y hora,Departamento,JurisdicciÆn ,Tipo de siniestro,Veh–culo,Rol,Edad,Sexo,Fallecido a los (D–as),Otro veh–culo,Lugar del Siniestro,0.0,0.0
18/02/2013 04:45,COLONIA,DEPARTAMENTAL,CAIDA,MOTO,CONDUCTOR,24,M,1,,JOSE ENRIQUE RODO esq. AVENIDA DE LOS ARGENTINOS,-34.0073395,-58.2866287
18/02/2013 21:40,MALDONADO,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,N,M,1,CAMION,RUTA 13 km. 185,-34.9119265,-54.9900793
19/02/2013 02:45,PAYSANDU,NACIONAL,DESPISTE,AUTO,PASAJERO,22,M,1,,RUTA 26 km. 171,-31.8860605,-57.043305
20/02/2013 18:00,ROCHA,NACIONAL,DESPISTE,CAMIONETA,CONDUCTOR,68,M,0,,RUTA 15 km. 96,-34.4878288,-54.319523
21/02/2013 18:00,MALDONADO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,79,M,0,AUTO,RUTA 39 km. 12,-34.9119265,-54.9900793
24/02/2013 03:03,CANELONES,DEPARTAMENTAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,28,M,1,,GENERAL ARTIGAS esq. FRANCISCA ASNAR DE ARTIGAS,-34.516667,-56.28333300000001
24/02/2013 08:00,SALTO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,50,M,0,CAMIONETA,AVENIDA LUIS BATLLE BERRES esq. AVENIDA GARIBALDI,-31.338889,-57.828611
24/02/2013 19:00,SALTO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,20,M,0,CAMION,AVENIDA PARAGUAY esq. AVENIDA E. GAUTRON,-31.3686968,-57.9275949
25/02/2013 18:40,PAYSANDU,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,13,M,1,CAMION,AVENIDA SORIANO esq. PROYECTADA NOVENTA Y SIETE,-32.3292694,-58.0566597
27/02/2013 09:40,RIO NEGRO,NACIONAL,CAIDA,MOTO,PASAJERO,64,M,5,,RUTA 3 km. 322,-32.8584512,-57.4921685
27/02/2013 17:20,ARTIGAS,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,89,M,4,MOTO,DIEGO LAMAS esq. 25 DE AGOSTO,-30.40594639999999,-56.4724148
01/03/2013 11:58,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,48,M,0,OMNIBUS,AVENIDA ITALIA esq. GENERAL NARIÛO,-34.8867989,-56.1250916
01/03/2013 19:20,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,25,M,1,CAMION,CORUÛA esq. AGACES,-34.8708992,-56.1514893
01/03/2013 21:00,COLONIA,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,74,M,0,AUTO,RUTA 21 km. 202,-33.9820739,-58.2825502
